id,camera_view_id,company,date,day_of_week,location,mood,time_of_day,weather
640,-1,family,2025-02-01 17:16:27.145,Saturday,home,happy,evening,sunny
641,-1,alone,2025-02-01 17:36:14.295,Saturday,home,relaxed,evening,sunny
642,-1,alone,2025-02-01 17:39:23.175,Saturday,home,relaxed,evening,sunny
643,-1,alone,2025-02-01 17:41:56.471,Saturday,home,relaxed,evening,sunny
644,-1,alone,2025-02-01 17:45:57.903,Saturday,home,relaxed,evening,sunny
645,-1,alone,2025-02-01 17:51:36.301,Saturday,home,relaxed,evening,sunny
646,-1,alone,2025-02-01 17:53:42.844,Saturday,home,relaxed,evening,sunny
647,-1,alone,2025-02-01 17:56:55.501,Saturday,home,relaxed,evening,sunny
648,-1,alone,2025-02-01 18:00:10.418,Saturday,home,relaxed,evening,sunny
649,-1,alone,2025-02-01 18:02:36.95,Saturday,home,relaxed,evening,sunny
650,-1,alone,2025-02-01 18:06:51.002,Saturday,home,relaxed,evening,sunny
651,-1,alone,2025-02-01 18:14:41.833,Saturday,home,relaxed,evening,sunny
652,-1,alone,2025-02-01 18:18:52.003,Saturday,home,relaxed,evening,sunny
653,-1,alone,2025-02-01 18:22:01.387,Saturday,home,relaxed,evening,sunny
654,-1,alone,2025-02-01 18:26:10.247,Saturday,home,relaxed,evening,sunny
655,-1,alone,2025-02-01 18:29:33.998,Saturday,home,relaxed,evening,sunny
656,-1,alone,2025-02-01 18:31:39.895,Saturday,home,relaxed,evening,sunny
657,-1,alone,2025-02-01 18:35:59.134,Saturday,home,relaxed,evening,sunny
659,-1,alone,2025-02-01 18:38:35.714,Saturday,home,relaxed,evening,sunny
658,658,partner,2025-02-01 18:37:51.573,Saturday,home,frustrated,evening,rainy
660,-1,alone,2025-02-01 18:39:14.444,Saturday,home,relaxed,evening,sunny
2917,2917,alone,2025-02-09 23:14:41.33,Monday,home,anxious,night,dark
661,661,partner,2025-02-01 18:41:36.276,Saturday,home,bored,evening,rainy
662,-1,alone,2025-02-01 19:58:10.729,Saturday,home,relaxed,evening,rainy
663,-1,alone,2025-02-01 19:59:35.893,Saturday,home,relaxed,evening,rainy
664,-1,alone,2025-02-01 20:01:42.445,Saturday,home,relaxed,night,rainy
665,-1,alone,2025-02-01 20:02:12.969,Saturday,home,relaxed,night,rainy
666,-1,alone,2025-02-01 20:03:18.078,Saturday,home,relaxed,night,rainy
667,-1,alone,2025-02-01 20:03:37.152,Saturday,home,relaxed,night,rainy
668,-1,alone,2025-02-01 20:04:06.921,Saturday,home,relaxed,night,rainy
669,-1,alone,2025-02-01 20:04:36.34,Saturday,home,relaxed,night,rainy
670,-1,alone,2025-02-01 20:05:09.243,Saturday,home,relaxed,night,rainy
671,-1,alone,2025-02-01 20:05:52.765,Saturday,home,relaxed,night,rainy
672,-1,alone,2025-02-01 20:06:04.768,Saturday,home,relaxed,night,rainy
