id,domain,rating,context_id,movie_id,song_id,user_id
2652,SONG,1,2845,,22,138
2653,MOVIE,5,2847,8,,138
2654,MOVIE,4,2848,19,,138
2655,MOVIE,3,2849,35,,138
2656,MOVIE,4,2850,10,,138
2657,MOVIE,5,2851,2,,138
2658,MOVIE,5,2852,34,,138
2659,MOVIE,5,2853,30,,138
2660,MOVIE,4,2854,1,,138
2661,MOVIE,5,2855,4,,138
2662,MOVIE,3,2856,14,,138
2663,MOVIE,5,2857,6,,138
2664,MOVIE,4.5,2858,33,,138
2665,MOVIE,5,2859,12,,138
2666,MOVIE,5,2860,32,,138
2667,MOVIE,3.5,2861,3,,138
2668,MOVIE,1,2862,17,,138
2669,MOVIE,5,2863,18,,138
2670,MOVIE,5,2864,16,,138
2671,MOVIE,3,2865,24,,138
2672,MOVIE,2,2867,5,,139
2673,MOVIE,3,2866,20,,138
2674,MOVIE,5,2869,29,,138
2675,MOVIE,5,2870,9,,138
2676,SONG,3.5,2868,,25,139
2677,MOVIE,3,2871,26,,138
2678,MOVIE,2,2873,7,,138
2679,MOVIE,4,2874,31,,138
2680,MOVIE,4,2875,27,,138
2681,MOVIE,3,2876,15,,138
2682,MOVIE,4,2872,18,,139
2683,MOVIE,5,2877,28,,138
2684,MOVIE,5,2878,11,,138
2685,MOVIE,5,2880,23,,138
2686,MOVIE,4,2881,21,,138
2687,MOVIE,3,2882,25,,138
2688,MOVIE,5,2883,22,,138
2689,MOVIE,5,2885,13,,138
2690,SONG,3.5,2879,,34,139
2691,MOVIE,4,2886,5,,138
2692,SONG,2.5,2887,,6,139
2693,MOVIE,4,2893,34,,139
2694,MOVIE,3.5,2894,22,,140
2695,MOVIE,5,2895,17,,140
2696,SONG,4,2896,,7,140
2697,MOVIE,3,2897,16,,140
2698,MOVIE,4.5,2898,28,,140
2699,SONG,4,2899,,21,140
2700,SONG,5,2900,,12,140
2701,SONG,2.5,2901,,18,140
2702,MOVIE,3,2902,26,,140
2703,SONG,3,2903,,31,140
2704,MOVIE,4.5,2904,2,,140
2705,MOVIE,5,2905,18,,140
2706,SONG,3.5,2906,,3,140
2707,SONG,4,2907,,5,140
2708,SONG,3.5,2908,,1,140
2709,SONG,4,2909,,28,140
2710,SONG,5,2910,,4,140
2711,SONG,3,2911,,11,140
2712,MOVIE,4,2912,29,,140
2713,MOVIE,4,2913,30,,140
2714,SONG,4,2914,,23,140
2715,SONG,4,2915,,27,140
2716,SONG,3,2916,,20,140
2717,MOVIE,3,2917,23,,140
2718,SONG,5,2918,,10,140
2721,MOVIE,2.5,2921,7,,140
2723,SONG,4,2923,,6,140
2719,SONG,5,2919,,26,140
2720,SONG,4,2920,,19,140
2722,MOVIE,3,2922,31,,140
2724,MOVIE,3.5,2924,14,,140
2725,MOVIE,3.5,2925,13,,140
2726,SONG,2.5,2926,,29,140
2727,MOVIE,4,2927,3,,140
2728,SONG,3.5,2928,,15,140
2729,SONG,4,2929,,24,140
2730,SONG,4.5,2930,,32,140
2731,MOVIE,3.5,2931,19,,140
2732,SONG,3,2932,,35,140
2733,SONG,4,2933,,34,140
2734,SONG,4.5,2934,,22,140
2735,MOVIE,4.5,2935,11,,140
2736,MOVIE,4,2936,21,,140
2737,SONG,3.5,2937,,13,140
2738,SONG,2.5,2938,,9,140
2739,SONG,3,2939,,30,140
2740,SONG,2,2940,,25,140
2741,MOVIE,4,2941,9,,140
2742,MOVIE,3.5,2942,15,,140
2743,SONG,4,2943,,24,141
2744,SONG,2.5,2944,,17,141
2745,SONG,2,2945,,21,141
2746,SONG,3,2946,,12,141
2747,SONG,3.5,2947,,33,141
2748,SONG,1.5,2948,,19,141
2749,SONG,1.5,2949,,1,141
2750,SONG,2.5,2950,,35,141
2751,SONG,4.5,2951,,8,141
2752,SONG,1.5,2952,,20,141
2753,SONG,2,2953,,10,141
2754,SONG,1.5,2954,,13,141
2755,SONG,4,2955,,31,141
2756,SONG,3.5,2956,,11,141
2757,SONG,4.5,2957,,28,141
2758,SONG,4,2958,,5,141
2759,SONG,4,2959,,30,141
2760,SONG,3.5,2960,,3,141
2761,SONG,2.5,2961,,27,141
2762,SONG,2,2962,,22,141
2763,SONG,2.5,2963,,32,141
2764,SONG,2,2964,,15,141
2765,SONG,4,2965,,26,141
2766,SONG,3.5,2966,,2,141
2767,SONG,3,2967,,29,141
2768,SONG,4.5,2968,,18,141
2769,SONG,5,2969,,14,141
2770,SONG,3.5,2970,,25,141
2771,SONG,4,2971,,7,141
